GeneSymbol	2 MES	2 Frozen	27	27	A18	C1	C13	C13	C5	D10	D10	D3	D3	D4	D4	D5 MES	D5 Frozen	D8 MES	D8 Frozen	D8 PKD	D8	J03	J11	17	17	A10	A10	A11	A13	A13	A4	A4	C11 MES	C11	C11a Frozen	C9	G4	G8	J10	J15
Class	ccA	ccA	ccA	ccA	ccA	ccA	ccA	ccA	ccA	ccA	ccA	ccA	ccA	ccA	ccA	ccA	ccA	ccA	ccA	ccA	ccA	ccA	ccA	ccB	ccB	ccB	ccB	ccB	ccB	ccB	ccB	ccB	ccB	ccB	ccB	ccB	ccB	ccB	ccB	ccB
BNIP3L	11.12907842	12.04901871	10.90036625	10.95852497	11.23214064	11.86089406	11.11992923	11.14661645	11.58304902	11.29063317	11.52875289	11.76815642	11.70385433	11.252345	10.9272205	11.08943319	11.77922576	11.29495478	11.30502604	11.05775414	11.46485722	12.5786916	12.30224225	11.17419551	11.06184159	9.859711854	9.919648538	10.17655133	9.74986707	9.74733033	10.75978206	10.77550114	10.26063964	10.47130786	10.67621357	11.35496399	10.93674962	10.7383713	11.6990366	10.40524737
C11orf1	6.031046335	6.52240152	6.016762265	6.0118477	7.029691807	5.978592796	6.727349957	6.721651846	5.836048724	6.586606993	7.017303916	6.262400144	6.32377456	5.506017208	6.084514508	5.28752836	6.141315433	6.596137741	6.452174936	6.425727871	6.681331741	6.329230352	6.687360068	6.032195283	5.977534896	6.793463828	7.125832552	5.77149554	6.553335045	6.956854668	6.700790664	6.980769866	4.943765412	5.089896707	4.968389301	5.146297373	5.798287896	5.441968218	6.382680184	6.03484057
C13orf1	6.2404997	7.394194315	6.246133864	6.588352729	6.405946471	7.167059219	6.305774758	6.465241111	6.447952868	7.106858566	6.86646041	7.244124736	7.05444963	6.522875765	6.614408681	6.759271055	7.438649734	6.849457313	6.69437288	6.520252035	6.897960962	7.276096794	6.517339366	6.218274686	6.18883112	3.023058269	4.211916113	6.012886076	5.410033648	5.527831004	5.594876227	5.453899151	6.012662172	6.010897792	6.365137189	6.493576941	6.458264867	6.901697367	7.010358885	6.47941224
EHBP1	8.916742708	9.3322545	9.178400701	9.304640645	9.578690835	9.430595999	8.925751656	8.976328139	9.159096723	9.373220926	9.66384564	9.575049787	9.584768238	9.063909697	8.935219123	8.529428784	9.264522182	8.91247949	8.195556555	8.785830437	8.980839615	9.480026624	10.12502484	8.968398941	8.809779723	8.535541192	8.750130212	7.868555816	7.90530408	8.024682485	8.142962099	8.239045943	8.037057209	8.165551142	7.737700861	8.703654369	8.49301027	8.686935252	9.450314753	9.058967527
ESD	9.577940795	10.63439835	9.754743276	9.821743027	10.09586145	10.48024813	9.887557772	9.978318398	10.04556461	9.563091728	9.919913935	10.57469644	10.50860155	10.0318058	10.09856311	9.852692904	10.62684501	10.25750354	10.60050834	9.995378526	10.46812407	10.81057234	10.28943266	10.02303397	9.958199227	7.822170273	8.07861853	9.037666089	9.430535562	9.727693686	9.077142519	9.176118309	9.427747456	9.675534496	9.965722978	9.584510913	10.27131812	10.22596273	10.47228533	10.42829962
FZD1	10.6874712	11.18328746	10.76931462	10.85580833	10.95624416	10.81074848	10.44574097	10.51206739	11.28053205	11.06843362	11.25593877	11.05770274	10.99997035	10.85638714	10.29811148	10.09173933	10.85886958	11.03403942	10.86998827	10.82027037	11.09517437	10.81452841	11.56962336	9.889325179	9.715460497	8.975094397	8.924512193	8.879044151	8.398772875	8.412237811	9.744834463	9.674230017	9.588161618	9.60670831	9.862682285	9.327254721	9.170324177	10.00279122	10.64722456	9.602271938
GALNT4	7.674902524	8.239271204	7.875914494	8.048098234	8.180444504	7.568365743	7.960881395	8.183686308	7.640256889	7.571444524	7.582740781	7.676711887	7.678420078	7.802742708	7.81042187	7.863129881	8.331697267	7.626415578	7.409783813	7.598520011	7.595471326	8.061732393	8.539049959	8.148101153	8.203128135	8.362426238	8.368190836	7.443050733	8.35266908	8.310308413	8.09663805	8.191788593	7.969397532	7.898701176	7.759138836	7.887788932	7.545238315	8.01726612	7.931579677	7.983261164
GIPC2	8.818948894	9.725268359	8.590699229	8.734324303	9.807445786	9.33516559	8.810656579	8.877289216	8.509055176	9.751545235	10.0554028	8.686355352	8.557647367	8.638037851	8.378957308	8.514734412	9.427378919	8.297978401	8.350514133	8.119286348	8.276457651	9.632349404	11.00623849	7.84309652	7.581893203	8.559805766	8.376495836	7.816445941	7.061617177	7.321000758	8.07992665	8.04777955	5.289385976	5.474027447	3.231958766	5.925061073	7.091154146	6.140119021	9.042593588	8.456718883
LEPROTL1	9.29314118	10.60576403	9.14324764	9.260585425	9.99152412	10.08819464	10.30654486	10.22727825	10.09539551	9.691421675	9.919913935	9.850689552	10.04998018	9.75407377	9.573816799	9.472160033	10.39875439	10.32139031	10.48504242	10.11698529	10.31230649	10.55498933	10.73333018	9.011011808	9.036604172	8.652977957	8.533282038	8.981982324	8.473238496	8.5662148	9.358079274	9.29532308	9.202604513	9.233132707	9.527355525	9.124968608	8.998872411	9.260594182	9.635500206	9.391667337
MAOB	10.29196587	11.68554401	10.40688423	10.37495685	11.19908029	10.86597666	10.41139082	10.30881171	10.85510957	10.69394949	10.74638086	10.81087741	10.68540116	10.15116172	9.783091792	9.757607753	11.00374669	10.58932155	10.96012173	10.35798755	10.48221406	11.42923466	11.65832914	9.179886765	8.902584493	8.704673205	8.647493302	9.023945339	10.26216226	10.27323375	9.422461413	9.378988006	9.7581835	9.690729254	9.819604611	9.345119338	8.922949229	8.987746344	10.81541525	9.731452613
